website,city,description,phone,company_name,address,email,zip_code
http://www.3esolutions.net,Trivandrum,"Selected process techniques which allows for quality software engineering with the best delivery times and least scope for error. Products & Services: Web Application, mobile Application, Bespoke solutions, technical resource outsourcing, Ecommerce solutions",+91 471 2700300,3E IT Solutions P Ltd,"Module No.L-17, Lower Ground Floor, Thejaswini Technopark Campus",hr@3eplc.com,695 581
http://www.aarictechnologies.com,Trivandrum,"ATL provides solutions that are innovative and add the definitive technological edge to our client's business processes. Products & Services: Cloud computing, IT service management, Ecommerce, Web Development",+91 471 406 8585,Aaric Technologies Pvt Ltd,"C-24, Thejaswini",anton.bobby@aarictechnologies.com,695 581
http://www.ushustech.com,Trivandrum,"Accel Frontline Limited provides product engineering and custom application services for the outsourced R&D market. It is managed by a team of highly experienced professionals, committed to provide cost effective solutions & international quality standards backed by full life cycle support. Products & Services: Accel Frontline Limited provides product engineering and custom application services for the outsourced R&D market. It is managed by a team of highly experienced professionals, committed to provide cost effective solutions & international quality standards backed by full life cycle support. What we are looking for: Projects in Mobile Application, Industrial Automation, Medical & Imaging, Multimedia Technology",+91 471-3061234,Accel Frontline Limited (Ushus Technologies),"311, Nila, Technopark",info@ushustech.com,695 581
http://www.accentiatech.com,Trivandrum,"Accentia provides solutions that are innovative and add the definitive technological edge to our client's business processes. We ensure value-added service in every client engagement. Our business model is supported by a strong foundation towards commitment and quality. Company & Services: Electronic Medical Record, Revenue cycle management, Medical Coding, billing and collections, Medical Transcription What we are looking for: Looking for clients for Medical Transcription, HRCM etc.",+91 471 2700964,Accentia Technologies Pvt Ltd,"233/241, Nila, second floor, Technopark",pradeep.vs@accentiatech.com,695 581
http://www.amtec.in,Trivandrum,"AMTEC is built on team work, structured methods, transparency and timely deliveries.Our technical strengths enable us to provide our clients with the most comprehensive and cost effective technology solutions Products & Services: Mobile Application & Game Development, Architectural Design, Graphic Design & Web Solutions, Corporate Movies, Interactive Design, Digital Marketing. What we are looking for: Projects in JAVA & .NET, Web Development and Application, Mobile Application & Game Development.",+91 471 2700786,Advanced Media Technologies Pvt. Ltd (AMTEC),"GF-011, Ground Floor, NILA Building, Technopark Campus",shajahan@amtec.in,695 581
http://www.aes-solutions.com,Trivandrum,"AES is a leading SAP consultancy house providing services and developing software applications. We have a team of qualified software experts dedicated to the demands of our clients, reducing the design costs and time to market. Products & Services: Software consulting, Outsourcing, Offshore Delivery, Pre-sales support, Prototype support, Training etc What we are looking for: Looking for projects in SAP",+91 471 4060 462,AES Solutions Pvt Ltd,"Gayatri Building, Technopark Campus",manoj@aes-solutions.com,695 581
http://www.akiraplc.com,Trivandrum,"We are into web development, software development and e-learning solutions. Products & Services: Advanced Web Development, Custom Software Development, E-learning Solutions, Graphic Designing & Multimedia, Domain & Hosting Services. What we are looking for: Customers in Mobile Application Development, Hospital Management System, E-Commerce Solutions, Website Design & Development, 2D & 3D Animation.",+91 471 3047775,Akira Software Solutions Pvt Ltd,"A - 6, T-TBI, Nila, , Technopark Campus",akhil.kesav@akiraplc.com,695581
http://www.aliftechnologies.co.in,Trivandrum,"Alif Technologies is an internationally-acclaimed ICT company in Brunei and leading provider of system integration solutions. Products & Services: Biometrics and smart cards, Software Development Solutions, ICI Infrastructure Solutions, E-learning, Paperless Solutions, E-Governance.",+91 471 6587905,Alif Technologies India Pvt Ltd (Kopie 1),"Fourth Floor, Amstor Building, Technopark Campus",basil@aliftechnologies.co.in,695581
http://www.alokin.in,Trivandrum,"Alokin conduct their work with an academic and collaborative spirit. They are especially interested in developing very high quality, state-of-the-art and user friendly computing products. Products & Services: In developing customized solutions for Web, Mobile and Desktop. Developed turnkey solutions in Language Computing, Content Management, Knowledge Management, Library and Information Sciences, eGovernment and Project Management. Alokin also offer R&D services in a variety of engagement styles, to create compelling products.",+91 471 6588898,Alokin Software pvt ltd,"TBIC 17, Thejeswani Building, Technopark",hr@alokin.in,695 581
http://www.amstorindia.com,Trivandrum,"AMSTOR - Engineering Design & Consultancy (EDC) is a Global Engineering Consultancy firm specialised in Infrastructural & Power Projects, Mineral Processing, Material Handling, Piping and 3D modeling among a host of other design and engineering activities. Products & Services: Project formation, Project Realization, Specialized & Management Services, Planning, Analysis & Reports, Detailed Engineering, Design Development.",+91 471 2700153,Amstor,"Amstor House, Technopark Campus",ceo@amstorglobal.com,695581
